登录日期,登录时间,注销时间,使用时间,登录次数
2002-1-1,0:18:43,23:47:05,23:28:22,168
2002-1-2,0:18:43,23:47:05,23:28:22,60
2017-11-27,0:18:43,23:47:05,23:28:22,60
2017-11-28,0:18:43,23:47:05,23:28:22,12
2017-12-1,0:18:43,23:47:05,23:28:22,12
2017-12-11,0:18:43,23:47:05,23:28:22,12
2017-12-13,0:18:43,23:47:05,23:28:22,12
2017-12-14,0:18:43,23:47:05,23:28:22,60
2017-12-21,0:18:43,23:47:05,23:28:22,12
2017-12-22,0:18:43,23:47:05,23:28:22,24
2017-12-25,0:18:43,23:47:05,23:28:22,12
2017-12-26,0:18:43,23:47:05,23:28:22,60
2017-12-29,0:18:43,23:47:05,23:28:22,12
2017-12-4,0:18:43,23:47:05,23:28:22,12
2017-12-6,0:18:43,23:47:05,23:28:22,24
2017-12-7,0:18:43,23:47:05,23:28:22,24
2017-12-8,0:18:43,23:47:05,23:28:22,36
2018-1-12,0:18:43,23:47:05,23:28:22,12
2018-1-15,0:18:43,23:47:05,23:28:22,36
2018-1-17,0:18:43,23:47:05,23:28:22,12
2018-1-22,0:18:43,23:47:05,23:28:22,36
2018-1-4,0:18:43,23:47:05,23:28:22,24
2018-1-5,0:18:43,23:47:05,23:28:22,36
2018-1-8,0:18:43,23:47:05,23:28:22,12
2018-1-9,0:18:43,23:47:05,23:28:22,72
2018-2-13,0:18:43,23:47:05,23:28:22,24
2018-2-22,0:18:43,23:47:05,23:28:22,12
2018-2-6,0:18:43,23:47:05,23:28:22,12
2018-3-11,0:18:43,23:47:05,23:28:22,12
2018-3-12,0:18:43,23:47:05,23:28:22,48
2018-3-13,0:18:43,23:47:05,23:28:22,36
2018-3-14,0:18:43,23:47:05,23:28:22,12
2018-3-15,0:18:43,23:47:05,23:28:22,12
2018-3-16,0:18:43,23:47:05,23:28:22,36
2018-3-18,0:18:43,23:47:05,23:28:22,12
2018-3-19,0:18:43,23:47:05,23:28:22,36
2018-3-2,0:18:43,23:47:05,23:28:22,96
2018-3-20,0:18:43,23:47:05,23:28:22,12
2018-3-22,0:18:43,23:47:05,23:28:22,24
2018-3-25,0:18:43,23:47:05,23:28:22,12
2018-3-26,0:18:43,23:47:05,23:28:22,12
2018-3-28,0:18:43,23:47:05,23:28:22,36
2018-3-29,0:18:43,23:47:05,23:28:22,12
2018-3-30,0:18:43,23:47:05,23:28:22,12
2018-3-5,0:18:43,23:47:05,23:28:22,132
2018-3-6,0:18:43,23:47:05,23:28:22,84
2018-3-7,0:18:43,23:47:05,23:28:22,48
2018-3-9,0:18:43,23:47:05,23:28:22,24
2018-4-1,0:18:43,23:47:05,23:28:22,24
2018-4-10,0:18:43,23:47:05,23:28:22,156
2018-4-11,0:18:43,23:47:05,23:28:22,108
2018-4-12,0:18:43,23:47:05,23:28:22,36
2018-4-13,0:18:43,23:47:05,23:28:22,48
2018-4-15,0:18:43,23:47:05,23:28:22,12
2018-4-16,0:18:43,23:47:05,23:28:22,60
2018-4-17,0:18:43,23:47:05,23:28:22,24
2018-4-18,0:18:43,23:47:05,23:28:22,24
2018-4-19,0:18:43,23:47:05,23:28:22,24
2018-4-2,0:18:43,23:47:05,23:28:22,48
2018-4-20,0:18:43,23:47:05,23:28:22,12
2018-4-21,0:18:43,23:47:05,23:28:22,12
2018-4-22,0:18:43,23:47:05,23:28:22,12
2018-4-23,0:18:43,23:47:05,23:28:22,96
2018-4-24,0:18:43,23:47:05,23:28:22,24
2018-4-26,0:18:43,23:47:05,23:28:22,24
2018-4-27,0:18:43,23:47:05,23:28:22,12
2018-4-3,0:18:43,23:47:05,23:28:22,60
2018-4-9,0:18:43,23:47:05,23:28:22,60
2018-5-1,0:18:43,23:47:05,23:28:22,12
2018-5-10,0:18:43,23:47:05,23:28:22,60
2018-5-11,0:18:43,23:47:05,23:28:22,48
2018-5-13,0:18:43,23:47:05,23:28:22,12
2018-5-14,0:18:43,23:47:05,23:28:22,108
2018-5-15,0:18:43,23:47:05,23:28:22,24
2018-5-16,0:18:43,23:47:05,23:28:22,48
2018-5-17,0:18:43,23:47:05,23:28:22,12
2018-5-18,0:18:43,23:47:05,23:28:22,12
2018-5-2,0:18:43,23:47:05,23:28:22,48
2018-5-22,0:18:43,23:47:05,23:28:22,36
2018-5-23,0:18:43,23:47:05,23:28:22,72
2018-5-24,0:18:43,23:47:05,23:28:22,36
2018-5-28,0:18:43,23:47:05,23:28:22,24
2018-5-29,0:18:43,23:47:05,23:28:22,84
2018-5-3,0:18:43,23:47:05,23:28:22,24
2018-5-30,0:18:43,23:47:05,23:28:22,36
2018-5-31,0:18:43,23:47:05,23:28:22,96
2018-5-4,0:18:43,23:47:05,23:28:22,24
2018-5-7,0:18:43,23:47:05,23:28:22,168
2018-5-8,0:18:43,23:47:05,23:28:22,108
2018-5-9,0:18:43,23:47:05,23:28:22,12
2018-6-1,0:18:43,23:47:05,23:28:22,48
2018-6-10,0:18:43,23:47:05,23:28:22,24
2018-6-11,0:18:43,23:47:05,23:28:22,60
2018-6-12,0:18:43,23:47:05,23:28:22,72
2018-6-13,0:18:43,23:47:05,23:28:22,12
2018-6-14,0:18:43,23:47:05,23:28:22,12
2018-6-15,0:18:43,23:47:05,23:28:22,24
2018-6-19,0:18:43,23:47:05,23:28:22,36
2018-6-20,0:18:43,23:47:05,23:28:22,24
2018-6-24,0:18:43,23:47:05,23:28:22,12
2018-6-25,0:18:43,23:47:05,23:28:22,48
2018-6-26,0:18:43,23:47:05,23:28:22,12
2018-6-27,0:18:43,23:47:05,23:28:22,12
2018-6-28,0:18:43,23:47:05,23:28:22,24
2018-6-4,0:18:43,23:47:05,23:28:22,12
2018-6-5,0:18:43,23:47:05,23:28:22,84
2018-6-6,0:18:43,23:47:05,23:28:22,12
2018-6-7,0:18:43,23:47:05,23:28:22,24
2018-7-13,0:18:43,23:47:05,23:28:22,12
2018-7-16,0:18:43,23:47:05,23:28:22,12
2018-7-2,0:18:43,23:47:05,23:28:22,24
2018-7-3,0:18:43,23:47:05,23:28:22,12
2018-7-6,0:18:43,23:47:05,23:28:22,12
2018-7-9,0:18:43,23:47:05,23:28:22,12
2018-8-29,0:18:43,23:47:05,23:28:22,120
2018-8-30,0:18:43,23:47:05,23:28:22,36
2018-8-31,0:18:43,23:47:05,23:28:22,12
2018-9-10,0:18:43,23:47:05,23:28:22,48
2018-9-11,0:18:43,23:47:05,23:28:22,12
2018-9-12,0:18:43,23:47:05,23:28:22,12
2018-9-13,0:18:43,23:47:05,23:28:22,12
2018-9-14,0:18:43,23:47:05,23:28:22,36
2018-9-17,0:18:43,23:47:05,23:28:22,36
2018-9-18,0:18:43,23:47:05,23:28:22,48
2018-9-2,0:18:43,23:47:05,23:28:22,204
2018-9-20,0:18:43,23:47:05,23:28:22,24
2018-9-25,0:18:43,23:47:05,23:28:22,72
2018-9-26,0:18:43,23:47:05,23:28:22,60
2018-9-27,0:18:43,23:47:05,23:28:22,60
2018-9-28,0:18:43,23:47:05,23:28:22,11
2018-9-3,0:18:43,23:47:05,23:28:22,24
2018-9-4,0:18:43,23:47:05,23:28:22,60
2018-9-5,0:18:43,23:47:05,23:28:22,72
2018-9-6,0:18:43,23:47:05,23:28:22,96
2018-9-7,0:18:43,23:47:05,23:28:22,48
2019-1-1,0:18:43,23:47:05,23:28:22,84
